,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Number
4.02,4.39,37.98,38.07,-5.07,-1.79,38.45,-36.69,60.21,-15.34,72.16,1.43,112.39,159.33,143.68,0,1,9
4.59,4.24,37.98,38.14,-5.04,-1.21,38.49,-23.74,54.72,-12.69,60.98,1.11,144.24,226.4,199.01,0,1,9
3.58,3.19,38.26,38.32,-3.82,-2.02,38.56,-14.47,57.47,-10.27,60.15,0.85,181.25,285.47,250.73,0,1,9
3.46,4.27,38.5,38.51,-4.85,-2.38,38.89,-14.37,65.84,-10.59,68.22,1.02,170.89,249.52,223.31,0,1,9
4.86,3.67,38.64,38.84,-4.53,-0.92,39.12,-9.92,69.71,-16.59,72.34,1.9,78.82,116.36,103.85,0,1,9
5.38,3.05,38.91,39.19,-4.02,-0.33,39.39,-18,73.31,-18.08,77.62,1.64,87.31,138.6,121.5,0,1,9
5.83,3.66,38.81,39.13,-4.7,0,39.41,-11.19,64.13,-12.28,66.25,1.07,159.02,240.25,213.17,0,1,9
6.09,3.34,38.43,38.79,-4.44,0.37,39.05,-12.01,61.35,-6.3,62.83,0.93,165.92,249.88,221.9,0,1,9
5.2,5.29,38.57,38.78,-6.18,-0.88,39.28,-12.82,66.49,-5.08,67.91,1.04,144.99,221.67,196.11,0,1,9
6.4,3.98,38.52,38.91,-5.13,0.54,39.25,-3.14,67.33,-6.19,67.69,1.03,163.61,243,216.53,0,1,9
7.3,4.13,38.2,38.71,-5.45,1.43,39.11,-13.51,63.69,-3.91,65.22,1.19,132.87,188.02,169.64,0,1,9
7.23,4.16,38.1,38.59,-5.46,1.36,39,-18.19,63.8,-8.03,66.83,0.88,171.52,240.31,217.38,0,1,9
7.55,5.47,37.73,38.23,-6.81,1.48,38.86,-14.06,59.59,-6.29,61.55,0.73,214.48,288.76,264,0,1,9
7.28,5.71,37.48,37.94,-7,1.2,38.6,-11.6,53.94,-4.94,55.4,0.74,214.14,311.42,278.99,0,1,9
7.44,6.47,37.28,37.75,-7.77,1.24,38.56,-7.8,43.16,-2.44,43.93,0.68,236.6,353.7,314.67,0,1,9
