,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
9.18,-17.04,21.73,22.17,18.47,-3.75,29.1,-32.08,29.4,8.62,44.36,0.08,2933.26,2493.05,2639.79,0,0,0
9.23,-16.44,21.99,22.39,18.09,-3.27,28.97,-22.11,14.13,4.22,26.58,0.09,2805.05,2500.49,2602.01,0,0,0
8.97,-17.19,21.5,21.96,18.42,-4.03,28.95,-22.89,19.34,16.25,34.09,0.09,3074.12,2607.12,2762.79,0,0,0
9.32,-18.42,20.66,21.19,19.54,-4.74,29.21,-37.02,56.37,12.85,68.66,0.1,3017.7,2595.16,2736.01,0,0,0
9.63,-18.76,20.77,21.3,19.99,-4.76,29.6,-36.27,61.5,27.87,76.64,0.1,2129.36,2592.48,2438.11,0,0,0
9.92,-18.95,20.82,21.35,20.33,-4.69,29.85,-62.83,54.44,32.76,89.36,0.09,2139.2,2750.57,2546.78,0,0,0
9.71,-18.77,21.3,21.82,20.06,-4.67,30.01,-74.93,47.09,12.54,89.38,0.1,2584.85,2341.76,2422.79,0,0,0
9.69,-18.77,21.43,21.96,20.04,-4.66,30.09,-68.66,52.45,-10.02,86.98,0.1,2688.78,2161.12,2337.01,0,0,0
10.06,-18.81,21.38,21.89,20.34,-4.44,30.21,-63.09,69.64,-6.23,94.18,0.09,2626.97,2241.96,2370.3,0,0,0
10.22,-19.13,21.5,22.02,20.67,-4.55,30.54,-46.5,82.48,29.29,99.11,0.1,2488.44,1942.26,2124.32,0,0,0
9.82,-18.58,22.51,23.01,20.01,-4.34,30.8,24.59,69.74,69.5,101.48,0.18,1355.02,1183.87,1240.92,0,0,0
9.41,-18.37,23.16,23.66,19.56,-4.41,31.02,-5.68,20.27,86.15,88.68,0.28,800.81,936.19,891.06,0,0,0
8.67,-19.02,22.01,22.62,19.49,-5.49,30.35,-39.54,-7.43,90.35,98.9,0.36,670.7,909.62,829.98,0,0,0
7.65,-19.47,22.56,23.26,19.07,-6.48,30.77,-38.11,-22.28,92.68,102.65,0.34,901.76,899.04,899.95,0,0,0
8.17,-19.3,22.32,22.97,19.32,-6.01,30.61,-20.4,-37.5,113.83,121.57,0.35,1081.84,853.88,929.86,0,0,0
7.84,-19.77,21.01,21.72,19.41,-6.7,29.89,-28.48,-40.85,140.48,149.04,0.45,967.04,796.62,853.43,0,0,0
7.44,-20.5,21.61,22.4,19.64,-7.45,30.7,-69.27,-11.81,114.72,134.53,0.45,954.87,730.12,805.03,0,0,0
7.23,-20.81,22.7,23.52,19.71,-7.71,31.63,-20.1,-9.65,129.63,131.54,0.38,724.92,876.31,825.85,0,0,0
6.84,-20.16,21.63,22.43,18.97,-7.62,30.35,5.62,-59.24,172.78,182.74,0.83,505.1,765.71,678.84,0,0,0
8.21,-19.87,16.7,17.42,19.75,-6.91,27.22,-4.18,-77.62,198.21,212.91,1.52,361.59,620.68,534.31,0,0,0
6.56,-17.01,17.62,18.25,16.57,-5.94,25.36,-20.91,-67.44,187.85,200.68,2.16,279.43,564.09,469.21,0,0,0
4.51,-13.42,16.2,16.73,12.6,-4.94,21.51,-22.27,-73.43,160.16,177.6,2.53,245.67,553.19,450.68,0,0,0
5.25,-15.9,13.69,14.35,14.85,-6.42,21.63,-12.55,-58.87,141.99,154.22,2.26,279.36,643.32,522,0,0,0
6.17,-13.77,12.91,13.37,14.03,-4.34,19.86,-9.45,-20.5,146.7,148.42,2.23,318.33,672.06,554.15,0,0,0
5.35,-11.51,10.81,11.18,11.87,-3.49,16.67,-12.09,5.7,144.36,144.98,2.27,343.37,701.47,582.1,0,0,0
5.41,-9.98,9.44,9.71,10.84,-2.48,14.76,-38.15,13.31,142.8,148.41,2.54,345.57,697.1,579.93,0,0,0
4.74,-11.38,9.45,9.86,11.34,-3.94,15.53,-49.25,9.29,142.95,151.49,2.6,339.47,668.26,558.66,0,0,0
7.01,-14.97,29.97,29.85,16.07,-4.75,34.23,4.83,43.36,29.15,52.47,0.27,1578.88,1835.76,1750.14,0,1,0
6.98,-15.07,29.92,29.79,16.13,-4.83,34.22,9.45,55.59,28.87,63.35,0.38,1301.16,1431.59,1388.12,0,1,0
6.97,-15.35,29.92,29.79,16.34,-5.02,34.35,8.79,50.94,27.56,58.58,0.38,1288.54,1441.67,1390.63,0,1,0
7.14,-14.92,30.25,30.12,16.11,-4.62,34.47,0.08,34.59,28.75,44.98,0.3,1597.31,1880.95,1786.4,0,1,0
7.17,-14.81,30.52,30.4,16.05,-4.54,34.68,-12.03,25.39,33.99,44.1,0.25,1919.19,2262.81,2148.27,0,1,0
7.02,-15.03,30.48,30.35,16.12,-4.79,34.7,-16.65,14.93,30.72,38,0.26,1758.35,2100.15,1986.22,0,1,0
7.16,-14.72,30.7,30.58,15.96,-4.49,34.79,-17.68,4.78,20.48,27.48,0.25,1794.69,2116.01,2008.9,0,1,0
7.05,-14.77,30.75,30.62,15.93,-4.62,34.83,-10.48,10.37,19.68,24.59,0.27,1688.21,2006.78,1900.59,0,1,0
6.96,-14.98,30.71,30.58,16.05,-4.81,34.87,-12.86,20.27,30.76,39.02,0.28,1698.36,2087.31,1957.66,0,1,0
6.85,-14.7,30.76,30.63,15.76,-4.73,34.77,-20.89,25.13,36.19,48.76,0.26,1860.58,2296.52,2151.2,0,1,0
6.75,-14.53,30.87,30.75,15.56,-4.7,34.78,-6.85,27.86,22.61,36.52,0.26,1789.16,2131.56,2017.43,0,1,0
6.87,-14.55,30.68,30.56,15.65,-4.61,34.64,9.42,8.94,26.73,29.71,0.23,1952.87,2426.19,2268.41,0,1,0
7.1,-14.77,30.46,30.34,15.97,-4.57,34.59,5.06,12.4,21.36,25.21,0.23,1934.15,2420.91,2258.65,0,1,0
7.61,-14.82,30.26,30.15,16.33,-4.19,34.54,2.01,14.58,17.36,22.76,0.27,1701,2102.89,1968.92,0,1,0
7.48,-14.94,30.24,30.12,16.34,-4.37,34.55,3.62,9.96,21.93,24.36,0.29,1592.91,1890.41,1791.24,0,1,0
7.19,-15.09,30.34,30.22,16.27,-4.69,34.64,5.18,6.06,25.32,26.55,0.28,1674.45,1952.19,1859.61,0,1,0
7.65,-15.29,30.04,29.92,16.72,-4.45,34.56,7.08,5.05,16.06,18.26,0.28,1661.62,2034.61,1910.28,0,1,0
7.7,-15.57,29.83,29.71,16.97,-4.58,34.52,4.44,0.57,21.04,21.51,0.26,1842.64,2174.75,2064.05,0,1,0
7.61,-15.55,29.92,29.8,16.9,-4.64,34.57,-2.55,-7.88,13.56,15.89,0.3,1534.67,1877.37,1763.14,0,1,0
